id;Raw;significance;Computed;sentences500;chjh;jmw;mva;disagree;post_discussion;notes_discussion;final_code
46;t(271) = -2.35, p = .02;significant;0.019490939;two options when the gamble had an expected value 46% greater than the certain payment on risk-aversion trials and 160% greater than the certain payment on ambiguity-aversion trials. Participants were significantly more ambiguity averse than risk averse, t(209) = −15.69, p < .001. Risk aversion was significantly correlated with ambiguity aversion (r = .42, p < .001). Gender effects on risk and ambiguity preferences and on testosterone levels Women were significantly more risk averse than men, t(271) = −2.35, p = .02 (risk premium for men: M = 38%, SEM = 5%, risk premium for women: M = 54%, SEM = 5%) and also more ambiguity averse than men, t(214) = −2.92, p = .004 (ambiguity premium for men: M = 135%, SEM = 11%, ambiguity premium for women: M = 183%, SEM = 12%). Mean salivary testosterone concentrations were 86.5 pg/mL (SD = 26.0) for men and 14.2 pg/mL (SD = 7.0) for women, the effect of gender was significant, t(283) = 32.3, p < .001. Because of this gender difference, we used z;3;3;3;0;3;;no expectation
47;f2(2) = 10.13, p = .01;significant;0.006313911; explained 23%, 33%, and 10% variance of the aggressive RED construct at Grades 1, 2, and 3, respectively, 28%, 26%, and 12% variance of the nonaggressive RED construct at Grades 1, 2, and 3, respectively, and 63%, 82%, and 87% variance of the antisocial construct at Grades 1, 2, and 3, respectively. Gender and ethnic differences in the cross-lagged modelGender differences were found in the predictive paths from aggressive and nonaggressive RED at Grade 2 to antisocial behavior at Grade 3, χ dif2(2) = 10.13, p = .01, which suggested stronger relations in males. Interpretation was omitted here because of a suppressor effect. Ethnic differences in stability of both aggressive and nonaggressive RED constructs from Grade 2 to Grade 3 were detected, χ dif2(2) = 8.99, p = .05. The stability in aggressive RED (β = .58, CI = .40 to .75, p < .01) and nonaggressive RED (β = .59, CI = .40 to .78, p < .01) in the ethnic minority group were much stronger than stability in aggressive RED (β = .2;3;3;3;0;3;;no expectation
48;F(1, 92) = 4.11, p < .05;significant;0.045523818; the reverse held for the older groups with a majority of boys ( M = 3.8 vs. M = 11.9 for the first and second days of testing, respectively). The influence of gender composition of the group in this interaction could not be attributed to a simple difference between girls and boys, the interaction of each child's gender, age, and order of presentation of scarce and ample resources was not reliable. Indeed, a follow-up analysis of the interaction between gender composition and individual gender, F(1, 92) = 4.11, p < .05, indicated that girls and boys were behaving differently in the two types of groups, at least when resources were scarce. Under those circumstances, girls and boys alike were more likely to seek access to peers' possessions if they were in the majority ( M = 12.4 vs. M = 8.3 for groups with a majority of and a minority of girls, respectively, and M = 9.9 vs. M = 6.8 for groups with a majority of and a minority of boys, respectively). The other statistically significant in;3;3;3;0;3;;no expectation
49; 2(1, N = 32) = 1.76, p =.19;nonsignificant;0.184624516;, N = 59) = 4.25, p =.04, such that men were more affected by the power manipulation than were women. This interaction, however, should be interpreted cautiously. Because the experiment was not designed to test for sex effects, the total number of participants is very low in some of the conditions (e.g., only 4 men in the high-power condition), which can result in unstable effects. In addition, although there was no significant interaction between sex of participant and power in Experiment 1, χ 2(1, N = 32) = 1.76, p =.19, the pattern of data was in the opposite direction, such that women were more affected by the power manipulation than were men. Supplemental analyses are available from the authors upon request. 4 We were not able to match the responses with the sex of participants. 5 We did not code the essays from the control condition for amount of participant power because very few of the control participants described situations that were relevant to social power. Therefore all o;3;3;3;0;3;;no expectation
50;t(1015) = -3.78, p < .001;significant;0.00016597; = .008), p < .001. In contrast, RTs improved at a steady rate through the preschool years, γ(886) Slope = −.174 ( SE = .015), p < .001. There were no retest effects. However, children with unplanned missing data at age 3 years showed lower accuracy, γ(437) = −.054 ( SE = .023), p = .019 and slower RTs at subsequent assessment points, γ(369) = .090 ( SE = .041), p = .031. As shown in Table 2, boys were less accurate than their female counterparts on the blocked switch condition at age 3, t(1015) = −3.78, p < .001, but showed comparable accuracy by 5.25 years, t(947) = 0.53, p = .595. Correspondingly, girls were slower to respond than boys at age 3 years, t(945) = 3.12, p = .002, but were naming shapes as quickly as boys by age 5.25, t(729) = −0.04, p = .971. Figure 3 shows that children with lower resources showed more rapid gains in blocked switch accuracy than their peers, the positive association between learning resources and accuracy thereby diminishing over time ( p < .;3;3;3;0;3;;no expectation
51; 2(2, N = 294) = 4.04, ns;nonsignificant;0.132655465;results of the cluster analysis ANOVAs indicate that the degree of quadratic trend does not differ significantly across clusters but not that the quadratic trend, in and of itself, is unimportant. Differences across the clusters were also investigated by using several demographic variables. There were no significant differences for either the OLS clusters or the EB clusters with regard to age: OLS, F(2, 305) = .78, ns, EB, F(2, 291) = .66, ns, and gender: OLS, χ 2(2, N = 308) = 1.18, ns, EB, χ 2(2, N = 294) = 4.04, ns. Because of the small sample of Blacks as well as other ethnic minorities, race differences were not investigated. For the EB clusters, there was no difference across cluster with regard to the month in which the individuals started to work for the organization, F(2, 291) = .61, ns. It is interesting that there was a significant difference for the OLS clusters, F(2, 305) = 3.40, p < .05. Tukey and Scheffé follow-up tests indicated that the low-performing cluster (mean s;3;3;3;0;3;;no expectation
52;F(1, 114) = 5.25, p < .03;significant;0.023783907;(1, 114) = 3.74, p = .056. SimilarityIn addition to being associated with decreases in liking, more information also led to decreased perceptions of similarity. The amount of similarity that participants perceived between themselves and their potential mates before dates ( M = 6.22, SD = 1.80) dropped significantly after those dates had occurred ( M = 5.23, SD = 2.40), F(1, 114) = 5.17, p < .03, there was no main effect for the gender of the respondent, F < 1, but we did observe an interaction, F(1, 114) = 5.25, p < .03. Mirroring results for liking, women's ratings of similarity showed a larger decrease ( Ms = 6.71 and 4.92, SDs = 1.76 and 2.44) than did men's ratings ( Ms = 5.77 and 5.77, SDs = 1.74 and 2.27, respectively). In sum, the increases in knowledge that occur after meeting someone are accompanied, on average, by decreases in liking for and perceived similarity to that individual (see Figure 2). Figure 2. Pre- and postdate ratings: Knowledge increases while liking and similar;3;3;3;0;3;;no expectation
53;F(1, 195) = 6.24, p < .01;significant;0.013316631;howed case effects in which participants rated the conduct in Rabidue v. Osceola Refining Co. more unwelcome than the conduct in Ellison v. Brady, F(1, 195) = 12.67, p < .01, r = .25. (Effect sizes are reported with the r statistic because it has a simple and direct interpretation and is more easily used in meta-analyses of effect sizes, Rosenthal, 1984.) The case means for each of the significant dependent variables appear in Table 1. Although we found main effects for gender on unwelcomeness, F(1, 195) = 6.24, p < .01, r = .18, we also found an interaction of case and gender, F(1, 195) = 7.44, p < .01, r = .19. Simple effects analyses showed that women found the conduct more unwelcome than men in the Rabidue v. Osceola Refining Co. case, F(1, 195) = 14.03, p < .01, r = .26, but not in the Ellison v. Brady case, F(1, 195) < 1.00, r = .00. Table 2 presents the means on each of the measures for women and men under the Rabidue v. Osceola Refining Co. and Ellison v. Brady fact patterns. Th;3;3;3;0;3;;no expectation
54;t(32) = 0.013, p = 0.99;nonsignificant;0.989708506;ered considerably between subjects, indicating a need to search for other, not yet systematically examined factors. Therefore, a supplementary data analysis was conducted to explore further variables influencing IMC effects. First, it was analyzed whether gender impacted on strength gains. However, summary data on all groups with mental training rates (M25, M50, M75), MVC increased almost equally in both females (3.6%) and males (3.5%), indicating that IMC effects were not influenced by gender, t(32) = 0.013, p = 0.99. Second, we examined whether strength gains were influenced by vividness of motor imagery. At the end of each session, subjects were asked to give a global evaluation of imagery during the IMC session. Individual mean ratings ranged from 3.0 to 4.3 (M = 3.6, SD = 0.4). The correlation between strength gains and vividness of imagery was r = 0.30 (p = 0.041, n = 34) in Posttest 1 and r = 0.40 (p = 0.019, n = 27) in Posttest 2. The finding that IMC effects were moderately aff;3;3;3;0;3;;no expectation
55; 2(1, N= 58)= 4.29, p< .05;significant;0.038337166;artner reality effects also emerged when we examined changes in ambivalence, as indexed by the Braiker and Kelley (1979)scale. When their partners were more self-critical at Time 1, both men and women reported growing doubts or uncertainty by Time 3. The opposite was true when partners had higher self-esteem. Men’s own self-images at Time 1 also predicted changes in their satisfaction by Time 3, as shown by the significant self-projection path for men (path a′) but not for women (path a), χ 2(1, N= 58)= 4.29, p< .05.Men with rosier self-images reported relatively more satisfaction, whereas men with weaker self-images suffered greater declines in happiness. Parallel self-projection effects emerged that predicted both men’s and women’s Time 2 satisfaction when we used the Time 1 Rosenberg (1965)measure as the index of self-models. Individuals grew relatively happier the higher their self-esteem, whereas individuals with weaker self-esteem suffered relatively greater declines in s;3;3;3;0;3;;no expectation
56;F(1, 68) = 4.30, p < .05;significant;0.04190273;evels of negative affect during the happy ( M = .09) than the disgust ( M = .19) display, F(1, 68) = 7.36, p < .01. The findings were more complex, however, when the positive affect ratings were examined in this task. There was a significant main effect for display, F(1, 68) = 21.30, p < .001, an Age × Display interaction, F(1, 68) = 8.02, p < .01, a Display × Task Order × Display Order interaction, F(1, 68) = 5.81, p < .01, and a Gender × Display × Task Order × Display Order interaction, F(1, 68) = 4.30, p < .05. Detailed analysis of the four-way interaction indicated that girls were more positive during the experimenter's happy ( M = .31) than disgust ( M = .09) display, F(1, 38) = 20.85, p < .001. When boys received the tactile task first (T-V), they also exhibited more positive affect in response to the happy ( M = .44) than disgust ( M = .16) expression, F(1, 21) = 7.85, p < .01. However, when task order was reversed (V-T), boys were equally positive across the two displays. ;3;3;3;0;3;;no expectation
57;t(38) = -0.10, p = .51;nonsignificant;0.920870051;ontrol condition, reporting feeling less satisfied with and committed to their current relationship partner. Attitudes toward infidelityWe next tested the hypothesis that the attention manipulation would cause participants to report more positive attitudes toward cheating on their partner, as assessed with responses to the ATI. An ANOVA revealed the predicted effect of experiment condition, F(1, 40) = 6.86, p = .01, d = .80. These findings did not interact with participant gender, β = −0.10, t(38) = −0.10, p = .51. Participants in the experimental condition ( M = 26.15, SD = 4.07), compared with control participants ( M = 28.68, SD = 1.91), reported more positive attitudes toward infidelity. DiscussionResults of Study 1 supported the forbidden fruit hypothesis. Participants whose attention to attractive alternatives was implicitly limited, compared with participants who did not have their attention limited, reported less satisfaction with and commitment to their current relationshi;3;3;3;0;3;;no expectation
58;F(1, 213) = 9.02, p < .01;significant;0.002989939; their task performance as slightly higher than their actual performance. The correlation between actual and self-reported rank was .56 ( p < .001). The mean GPA was 3.43 ( SD = 0.37). Male participants performed better on the tests ( M = 63.83, SD = 27.56) than did female participants ( M = 53.54, SD = 28.99), F(1, 213) = 6.41, p = .01, η p2 = .03. Male participants also perceived their performance more positively ( M = 67.93, SD = 17.97) than did female participants ( M = 58.14, SD = 24.89), F(1, 213) = 9.02, p < .01, η p2 = .04. However, there was no gender difference in the size of discrepancy between actual and perceived performance, F(1, 213) = .03, ns. We regressed reported GPA on (mean-centered) actual performance percentile, (mean-centered) self-reported performance percentile, gender, and their interactions. Participants' gender did not qualify our results and was not considered further. The predicted interaction of actual performance percentile and self-reported performance;3;3;3;0;3;;no expectation
59;F(113, 262) = 8.57, p < .001;significant;2.50E-32;reasons for participation, the mean number of fun hours was generally greater than the mean number of expediency hours, which in turn was greater than the number of pressure hours. Figure 1. Hours spent in different activities: Total hours, and hours associated with particular reasons for participation Descriptive StatisticsMeans and standard deviations for all variables in this study are presented by gender in Table 2. A one-way MANOVA revealed significant gender differences, Wilks's Λ = .74, F(113, 262) = 8.57, p < .001. Follow-up univariate analyses of variance (ANOVAs) showed that, compared with boys, girls had lower scores on sports hours and delinquency, they had higher scores on arts hours, grades, and classroom competence as well as on internalizing symptoms. Simple correlations among all variables are depicted in Table 3. Descriptive Data for All Variables Separated by Gender Simple Correlations by Gender Clinically Significant Internalizing SymptomsParallel to the strategy us;3;2;3;1;3;;no expectation
60;t(60) = 0.57, p = .57;nonsignificant;0.570805947; (RSE). The RSE consists of 10 statements related to overall feelings of self-worth. The items were answered on a 4-point scale ranging from (1) Strongly Disagree to (4) Strongly Agree (Cronbach’s alpha = .77). Results and DiscussionRelationship satisfactionOverall, participants reported being quite satisfied with their romantic relationship ( M = 1.37, SD = 0.61), and there was no difference in relationship satisfaction for men ( M = 1.41, SD = 0.65) compared to women ( M = 1.32, SD = 0.58), t(60) = 0.57, p = .57, d = 0.15). Relationship satisfaction did not moderate any of the results reported below. Implicit self-esteemBecause participants were nested within a couple, individual responses are not independent. Thus, we analyzed implicit self-esteem with a multilevel random coefficient model analysis using the HLM 6.04 program ( Raudenbush, Bryk, &amp, Congdon, 2004). The Level 1 (within-couple) equation was implicit self-esteem = β 0 + β 1*partner feedback condition + β 2*partici;3;3;3;0;3;;no expectation
61;t(594) = 2.06, p < .05;significant;0.039833612;ts of cocaine exposure on boys’ IQs did not significantly vary from age 4 to age 9 years after other variables were controlled. Figure 1. IQ scores as a function of prenatal cocaine exposure and gender (predicted means from the linear mixed model).Subscale scoresWe next examined each of the four SB–IV subscales to identify whether cocaine effects were found for specific subscales (see Table 3). Cocaine and gender interacted such that exposed boys had poorer Abstract/Visual Reasoning scores, t(594) = 2.06, p < .05, d = 0.47, with trends for poorer Short-Term Memory, t(2392) = 1.81, p < .10, d = 0.40, and Verbal Reasoning, t(1323) = 1.71, p < .10, d = 0.38, scores. In addition, children from less stimulating environments had poorer Quantitative Reasoning, t(200) = 2.00, p < .05, d = 0.46, Short-Term Memory, t(466) = 2.40, p < .05, d = 0.56, and Verbal Reasoning, t(592) = 3.03, p < .01, d = 0.68, scores. Maternal verbal IQ also predicted each subscale, as higher maternal verbal IQ pred;3;3;3;0;3;;no expectation
62;t(40) = 0.44, p = .66;nonsignificant;0.662305522;rustee's gender as an additional between-item variable in the analysis did not impact results but yielded a significant interaction between picture type and trustee's gender, F(1, 38) = 6.2, p = .02. This result would appear to reflect the fact that females looked more trustworthy than males from full pictures ( M for females = 0.94, M for males = 0.03), t(40) = 2.73, p = .01, whereas females and males looked equally trustworthy from cropped pictures ( M for females = 0.58, M for males = 0.41), t(40) = 0.44, p = .66. Additional resultsAn additional analysis helps to clarify why TD was more accurate with cropped pictures than with full pictures. As manifest in Figure 2C, explicit trustworthiness ratings provided about the full pictures predicted 80% of the variance of transfer decisions in Study 3 ( r = .90, p < .001), whereas explicit trustworthiness ratings provided about the cropped pictures predicted only 18% of the variance of transfer decisions in Study 1 ( r = .43, p = .005). This;3;3;3;0;3;;no expectation
63;F(1, 51) = 3.79, p= .057;nonsignificant;0.057077358;ted that reports of High Activation emotion to the happy film ( M= 1.69) were significantly less than reports of High Activation emotion to any of the negative films (overall M= 2.65). Reports of High Activation emotion to the sad film ( M= 1.90) were significantly less than reports of High Activation emotion to the fear ( M= 2.96), disgust ( M= 2.89), and anger ( M= 2.84) films. Analysis of Low Activation emotion revealed a somewhat different pattern of findings. The main effects for both sex, F(1, 51) = 3.79, p= .057, and gender role, F(2, 51) = 3.14, p= .052, approached significance. In general, men reported feeling more Low Activation emotion (e.g., quiet, tranquil) than women, however, only comparisons for the fear and disgust films were significant. Feminine participants generally reported feeling more Low Activation emotion than did either masculine or androgynous participants, but only the comparison between feminine and androgynous participants for the anger film reached signif;3;3;3;0;3;;no expectation
64;t(2878) = 3.98, p < .05;significant;7.06E+09;d by mail, and 1,086 (47%) completed the survey in this manner. The remaining 304 participants (13%) did not return mailed surveys and were contacted and completed surveys during phone interviews. Informed consent was obtained after providing a complete description of the study to the participants. ParticipantsAt Time 1, participants included 2,702 men and 240 women. Their mean age was approximately 30 years, with the men significantly older than the women, 30.3 versus 28.1 years, respectively, t(2878) = 3.98, p < .05. The average education level was just over 13 years, with the women slightly more educated than the men, 13.6 versus 13.1 years, respectively, t(2929) = 3.72, p < .05. The majority of the cohort (82%) was Caucasian, with 9% African Americans, 4% Hispanic, and 5% designated as “other.” Women in the sample were more likely to be members of an ethnic minority (27%) than were men (16%), χ 2(1, N = 2,941) = 18.5, p < .05. More than half were married (59%), whereas only abo;3;3;3;0;3;;no expectation
65;t(172) = 2.96, p = .004;significant;0.003510636;AT task in the “I like” block ( M = 607 ms, SD = 59) versus the “I don't like” block ( M = 638 ms, SD = 56), t(173) = −7.71, p < .001, d = 0.70. As in Studies 1–3, the strength of participants' implicit preference for physical attractiveness (calculated as in Studies 1–3) did not significantly correlate with their explicit preferences, r(172) = .03, p = .710. As expected, men reported a greater explicit preference for physical attractiveness than women, Mmen = 7.72, Mwomen = 7.20, t(172) = 2.96, p = .004. As in Studies 1–3, men and women did not significantly differ in their implicit preferences, Mmen = 35.5, Mwomen = 25.6, t(172) = 1.24, p = .217. Predictive validity of explicit and implicit preferences on speed-dater evaluationsWe first examined whether participants' explicit and implicit preferences for physical attractiveness moderated the extent to which their subjective judgment of each speed-dating partner's attractiveness (standardized to M = 0, SD = 1) predicted;2;2;3;1;2;;effect expected
66;F(1, 192) = 81.46, p < .001;significant;1.87E-02;observed between state self-objectification and self-surveillance, r(98) = .60, p < .001, and self-surveillance and body shame, r(98) = .28, p < .01, however, state-self-objectification and body shame were not significantly correlated, r(98) = −.16, p = .11. Mean Scores (and Standard Deviations) for State Self-Objectification, Self-Surveillance, and Body Shame in Experiment 1State self-objectificationAs expected, there was a significant effect of participant sex on state self-objectification, F(1, 192) = 81.46, p < .001, η p2 = .30, such that women ( M = 6.86, SD = 11.62) reported higher scores than did men ( M = −8.04, SD = 13.59). Sexism exposure also exerted a significant main effect, F(3, 192) = 9.35, p < .001, η p2 = .13. Of greatest interest to the present research, however, was the interaction between participant sex and exposure to sexism, F(3, 192) = 4.06, p < .01, η p2 = .06. As predicted, women who were exposed to benevolent sexism exhibited more state self-objectifica;3;2;3;1;2;;effect expected
67; 2(2) = 2.53, p = 0.28;nonsignificant;0.282239296;od samples via standard methods and genotyped for the BDNF Val66Met SNP via TaqMan 50exonuclease assay (Applied Biosystems, Foster City, CA, USA).ResultsDemographicsOne way ANOVA revealed that the mean age of subjects did not differ significantly between the three genotype groups, F(2,55) = 0.49, p = 0.62. (MetMet M = 41.75 SEM = 2.2, ValMet M = 40.28 SEM = 2.52, ValVal M = 38.45, SEM = 2.51).Chi-square revealed that there was no significant difference in gender across the three genotype groups, 2(2) = 2.53, p = 0.28.Behavioural ResultsAn independent samples t-test comparing met carriers (MetMet and ValMet) with val homozygotes (ValVal) revealed no significant effect of genotype on d' (MetMet M = 1.07 SEM = 0.1, ValMet M = 0.97 SEM = 0.08, ValVal M = 1.08 SEM = 0.08, t(57) = -.95, p = .34) or on proportion of hits(MetMet M = 0.59 SEM = 0.03, ValMet M = 0.57 SEM = 0.03, ValVal M = 0.63 SEM = 0.03, t(57) = -1.56, p = .12), or proportion of false alarms, (MetMet M = 0.22 SEM = 0.03, ValMet;3;3;3;0;3;;no expectation
68;t(259) = 8.84, p < .0001;significant;1.50E-03;1, F(1, 600) = 13.89, p < .001, Time 2, F(1, 609) = 7.58, p < .01. The means for girls and boys and the effect sizes for the gender differences are presented in Table 1. At each time point, girls scored higher than boys, with the gender difference being larger among adolescents than children. The effect sizes were moderate in childhood and large in adolescence. Separate t tests indicated that the gender differences were significant for both adolescents, Time 1, t(246) = 9.93, p < .0001, Time 2, t(259) = 8.84, p < .0001, and children, Time 1, t(354) = 4.34, p < .0001, Time 2, t(350) = 4.68, p < .0001. Girls' and Boys' Scores for Co-Rumination, Depression, Anxiety, and Positive Friendship QualityDepressionFor the entire sample of 813 youths, a 2 (gender) × 2 (grade group) ANOVA was conducted at Times 1 and 2 for depression. At each time point, no significant effects were found for gender, Time 1, F(1, 809) = 0.37, Time 2, F(1, 809) = 0.35, grade group, Time 1, F(1, 809) = 0.64, Time 2, F;3;3;3;0;3;;no expectation
69;F(2, 130)= 3.56, p< .03;significant;0.031243926;ompliance, F(2, 130)=1.00, p< .001,externalizing problems, F(2, 130)= 17.73, p< .001,and verbal deviance, F(2, 130)= 17.78, p< .001.Analysis with ttests showed a significant decrease in boys' levels of noncompliance, externalizing problems, and verbal deviance from pre- to posttreatment and a further significant decrease at follow-up. In addition, there were Gender × Time effects for total child externalizing behaviors with fathers, F(2, 130)= 3.30, p< .04,and for verbal deviance with fathers, F(2, 130)= 3.56, p< .03.The ttests revealed a significant decrease for boys from pre- to posttreatment as well as a significant decrease from posttreatment to follow-up in total externalizing and in verbal deviance, whereas girls showed a significant decrease from pre- to posttreatment in these variables with no significant change from posttreatment to follow-up. There was no significant time effect for girls' or boys' physical deviance nor were there significant time effects in girls' and boys' ;3;3;3;0;3;;no expectation
70;F(1, 18) = 3.84, p < .07;nonsignificant;0.065715103;ielded a Hemisphere × Gender effect at the p < .08 level for AEP Peak 2. Examination of the cell means ( Table 2) indicated that differences in AEP amplitude asymmetry between boys and girls were present only in the verbal condition. Therefore, a Tone × Hemisphere × Gender ANOVA was performed separately for the verbal and music conditions. Findings from these analyses yielded a significant Peak 2 Hemisphere × Gender interaction for the verbal condition, F(1, 18) = 6.76, p < .02, for Peak 3, F(1, 18) = 3.84, p < .07. For the music condition, a gender effect was not found because both boys and girls had higher amplitude right-hemisphere responses. To examine the data within each gender more closely, a Condition × Tone × Hemisphere ANOVA was performed on AEP peak amplitude measures for boys and girls separately. For the girls, these analyses showed a significant Condition × Hemisphere effect for both Peaks 2 and 3, F(1, 9) = 7.57, p < .02, and F(1, 9) = 8.41, p < .02, respectively. ;3;3;3;0;3;;no expectation
71;F(1, 52) = 1.23, ns;nonsignificant;0.272510015; covariates. A Bonferroni adjustment to alpha (α = .025) was made to allow for multiple comparisons. For the British sample, gender had a significant effect on PS rates, F(1, 49) = 8.63, p = .005, η 2 = .15, with boys producing more self-regulatory PS than girls. For the Saudi sample, there was no statistically significant effect of gender, although there was a nonsignificant trend in the opposite direction to the British sample, with Saudi girls using more self-regulatory PS than Saudi boys, F(1, 52) = 1.23, ns, η 2 = .023. The cause of the interaction would therefore appear to be boys' greater use of self-regulatory PS in the British sample, coupled with no such gender effect in the Saudi sample. As reported above, levels of self-regulatory PS in this sample were highly correlated with social speech. To determine whether the interaction between nationality and gender was specific to PS or applied to children's speech in general, we conducted the same analyses on social speech measu;3;3;3;0;3;;no expectation
72; 2(1) = 55.56, p < .001;significant;9.06E+00;SEA = .07. The dashed line in Figure 1B represents boys’ development of empathic concern corrected for differences in pubertal status from ages 13 to 16 years. ECMean levels of EC are presented in Table 1. A quadratic LGM showed a better fit to the data than did a linear LGM, Δχ 2(8) = 47.63, p < .001. The fit of the quadratic LGM was acceptable: χ 2(24, N = 497) = 50.75, p < .01, CFI = .97, RMSEA = .07. Multiple group analyses revealed significant gender differences in initial levels, Δχ 2(1) = 55.56, p < .001, with lower levels for boys than for girls. Boys and girls also differed significantly in linear change, Δχ 2(1) = 13.31, p < .001, and in quadratic change, Δχ 2(1) = 12.25, p < .001 (see Table 2). For boys, the linear change was significant and negative, but a significant positive quadratic factor implied a decrease in EC from early to middle adolescence and an increase thereafter. For girls, there was no significant linear or quadratic change, indicating stable mean ;3;3;3;0;3;;no expectation
73;F(1, 64) = 5.81, p < .05;significant;0.018818902;n positive behaviors. Thus, positive events may not relate as strongly to perceptions and feelings about the relationship as much as negative events ( Baumeister, Bratslavsky, Finkenauer, &amp, Vohs, 2001). As mentioned earlier, gender was included as both a covariate and in an additional step as a potential moderator (e.g., Gender × Actor Autonomy) of the actor and partner associations described above. Two significant gender effects emerged. First, women generally reported less defensiveness, F(1, 64) = 5.81, p < .05, β = −.41. Second, a Gender × Actor Autonomy interaction predicting understanding indicated that the association between actor relationship autonomy and understanding responses was stronger for women (β = .72) than for men (β = .00), F(1, 102) = 13.84, p < .001, β = −.78. Exploratory tests of potential Actor Relationship Autonomy × Partner Relationship Autonomy interactions were not significant. In sum, these data conceptually replicated the findings of Studies ;3;3;3;0;3;;no expectation
74;t(386)= 3.59, p< .01;significant;0.000373313; 2.55, SD= .35) than those received from cross-sex peers ( M= 2.05, SD= .41). A near-significant main effect for grade was found, F(3, 378)= 2.25, p< .08, suggesting a tendency for younger children to receive higher ratings than older children. These main effects were qualified by two significant interactions. First, a significant Sex of Target × Sex of Rater interaction, F(1, 378)= 5.72, p< .05, resulted from boys receiving significantly lower scores from girls, than girls received from boys, t(386)= 3.59, p< .01. Thus, greater cross-sex negativity was found among girl raters than boy raters. Second, a significant interaction between sex of rater and grade was obtained, F(3, 378)= 11.15, p< .001. Simple effects tests (Scheffé procedure, p< .05) indicated that this interaction resulted from children receiving significantly lower ratings from cross-sex peers in Grade 3 ( M= 1.88, SD= .41) than in kindergarten ( M= 2.13, SD= .42), Grade 1 ( M= 2.08, SD= .42), and Grade 2 ( M= 2.09, SD= ;3;3;3;0;3;;no expectation
75;F(2, 85) = 5.4, p < .01;significant;0.006198266;2 = those mated 2 weeks after the stress ended.Males escaped more than females, F(2, 89) = 8.0, p < .01 (not shown), reflecting the sex difference in avoidance. Escape failures were few (0.7 ± 0.2 during the 80 trials), and differences did not attain significance. There were no significant differences in defecation. Startle ResponseForty-one controls, 31 PCS0, and 19 PCS2 were tested, about evenly distributed by sex. There was a significant interaction of sex and group on the startle response, F(2, 85) = 5.4, p < .01, because male PCS2 were less startled than male controls ( p < .001) and male PCS0 ( p < .05). There was also an interaction of trials, sex, and group, F(18, 156) = 2.0, p < .05, possibly because males habituated more rapidly than females, while maintaining the sex and group differences. Further analysis confirmed that male PCS were less startled than controls, F(1, 43) = 5.80, p < .05, whereas female PCS were more startled than their controls, F(1, 44) = 4.45, p < .05 (se;3;3;3;0;3;;no expectation
76;F(1, 44) = 1.751, p = .193;nonsignificant;0.192586394;002). To increase sensitivity and robustness, and to facilitate interpretability and multivariate classification analysis of fMRI data, we used a median split on the total-anxiety score to divide children into two groups of equal size (HMA group score: M = 38.391, SD = 7.590, LMA group score: M = 25.348, SD = 2.673). The two groups differed on math anxiety but not on IQ, working memory, or overall reading and math proficiency (Table 1). Math-anxiety scores did not differ between boys and girls, F(1, 44) = 1.751, p = .193, or between second and third graders, F(1, 44) = 0.018, p = .894, so data from both genders and grades were pooled for subsequent analysis. Critically, although the two groups differed in math anxiety, F(1, 44) = 60.425, p < .001, they did not differ in trait anxiety, F(1, 39) = 0.508, p = .480. Additional analyses using math anxiety and trait anxiety as continuous variables showed that these two measures were not significantly correlated (r = −.132, p > .400). View t;3;3;3;0;3;;no expectation
77;F(3, 174) = 0.47, p > .70;nonsignificant;0.703580773;groups should not have differed systematically in sample characteristics observable at the time of the original experiments because they had been assigned randomly into experimental conditions. In fact, the proportion of the sexes in the four groups was not significantly different, χ 2(3, N = 185) = 2.87, p > .40, and a Sex × Condition analysis of variance ( ANOVA) revealed no significant main effect of sex, F(1, 174) = 0.45, p > .50, condition, F(13, 174) = .94, p > .40, or Sex × Condition, F(3, 174) = 0.47, p > .70, on the age at which delay time was measured. With delay time as the dependent variable, a Sex × Condition, ANOVA revealed a significant main effect of condition, F(3, 174) = 4.3, p < .01, as expected, whereas no other effects were significant. The mean delay times reported in Table 1 confirm that when no cognitive and attentional strategies were suggested, delay was more difficult when the rewards were exposed (e.g., Mischel, 1974). The skewness of the distribution of ;3;3;3;0;3;;no expectation
78;t (44) = -2.00, p = .052;nonsignificant;0.051696603;d in Table 2. Higher scores on the APSD were associated with lower predicted IQ and increased AUDIT total scores. In contrast, APSD scores were not significantly associated with any of the DASS subscales. RMET scores exhibited a significant positive correlation with predicted IQ. Age showed no significant association with either RMET or APSD score. Independent samples t-tests demonstrated that females and males did not differ significantly on APSD scores (t (89)1.6, p = .113) or on RMET scores (t (44) = -2.00, p = .052). For RMET scores, Levene�s test indicated unequal variances, F (1, 89) = 5.06, p = .027, so degrees of freedom were adjusted from 89 to 44. These results are presented in Table 3. Download: PPT PowerPoint slide PNG larger image () TIFF original image () Table 1. Demographic Characteristics and IQ of Total Sample and Quartile Groups of APSD Total Score.doi:10.1371/journal.pone.0067753.t001 Download: PPT PowerPoint slide PNG larger image () TIFF original image () Table 2. ;3;3;3;0;3;;no expectation
